"types"	"tokens"	"wortart"	"genus"
"535"	"."	"."	"$."	"--"
"536"	"ein"	"Ein"	"ART"	"nsn"
"537"	"Bonbon"	"Bonbon"	"NN"	"nsn"
"538"	"werden"	"wird"	"VAFIN"	"3sis"
"539"	"die"	"die"	"ART"	"nsf"
"540"	"Aufführung"	"Aufführung"	"NN"	"nsf"
"541"	"das"	"des"	"ART"	"gsn"
"542"	"letzt"	"letzten"	"ADJA"	"gsn"
"543"	"Werk"	"Werkes"	"NN"	"gsn"
"544"	"von"	"von"	"APPR"	"d"
"545"	"Helmut"	"Helmut"	"NE"	"dsm"
"546"	"Lachenmann"	"Lachenmann"	"NE"	"dsm"
"547"	","	","	"$,"	"--"
"548"	"der"	"der"	"PRELS"	"nsm"
"549"	"übrigens"	"übrigens"	"ADV"	"--"
"550"	"auch"	"auch"	"ADV"	"--"
"551"	"kommen"	"kommt"	"VVFIN"	"3sis"
"552"	","	","	"$,"	"--"
"553"	"wie"	"wie"	"KOKOM"	"--"
"554"	"Younghi"	"Younghi"	"NE"	"nsm"
"555"	"Pagh-Paan"	"Pagh-Paan"	"NE"	"nsm"
"556"	"und"	"und"	"KON"	"--"
"557"	"Klaus"	"Klaus"	"NE"	"nsm"
"558"	"Huber"	"Huber"	"NE"	"nsm"
"559"	":"	":"	"$."	"--"
"560"	"\""	"\""	"$("	"--"
"561"	"Serynade"	"Serynade"	"NE"	"ns*"
"562"	"\""	"\""	"$("	"--"
"563"	"für"	"für"	"APPR"	"a"
"564"	"Klavier"	"Klavier"	"NN"	"asn"
"565"	"."	"."	"$."	"--"
"566"	"mit"	"Mit"	"APPR"	"d"
"567"	"Yukiko"	"Yukiko"	"NE"	"dsf"
"568"	"Sugawara"	"Sugawara"	"NE"	"dsf"
"569"	","	","	"$,"	"--"
"570"	"David"	"David"	"NE"	"dsm"
"571"	"Albermann"	"Albermann"	"NE"	"dsm"
"572"	"und"	"und"	"KON"	"--"
"573"	"Carin"	"Carin"	"NE"	"dsf"
"574"	"Levine"	"Levine"	"NE"	"dsf"
"575"	"sein%aux"	"sind"	"VAFIN"	"3pis"
"576"	"neben"	"neben"	"APPR"	"d"
"577"	"das"	"dem"	"ART"	"dsn"
"578"	"Ensemble"	"Ensemble"	"NE"	"dsn"
"579"	"Recherche"	"Recherche"	"NE"	"dsn"
"580"	"MusikerIn"	"MusikerInnen"	"NN"	"np*"
"581"	"engagieren"	"engagiert"	"VVPP"	"--"
"582"	","	","	"$,"	"--"
"583"	"der|die|das"	"die"	"PRELS"	"np*"
"584"	"die"	"die"	"ART"	"asf"
"585"	"Freude"	"Freude"	"NN"	"asf"
"586"	"an"	"am"	"APPRART"	"dsn"
"587"	"Hören"	"Hören"	"NN"	"dsn"
"588"	"garantieren"	"garantieren"	"VVFIN"	"3pis"
"589"	"."	"."	"$."	"--"
"590"	"Ute"	"Ute"	"NE"	"nsf"
"591"	"Schalz-Laurenze"	"Schalz-Laurenze"	"NE"	"nsf"
